StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,SI1,SI1_23_TEXT,SI2,SI3,SI3_8_TEXT,SI4,SI4_10_TEXT,SI5_1,SI5_11,SI5_2,SI5_3,SI5_4,SI5_5,SI5_6,SI5_7,SI5_8,SI5_9,SI5_10,SI5_10_TEXT,SI6,SI7,SI7_5_TEXT,SI8,SI8_4_TEXT,SI9,SI9_5_TEXT,SI10,SI10_5_TEXT,SI11,SI12
2026-02-02 13:18:36,2026-02-02 13:26:37,IP Address,*******,100,481,True,2026-02-02 13:26:38,R_1UdURQAHNMB5bTH,*******,*******,*******,*******,*******,*******,anonymous,EN,Health Coach,,Yes,"Type 2 Diabetes/Prediabetes,Weight Management,General Wellness/Prevention",,"Affordability of healthy foods,Concerns about protein adequacy,Familial and/or household pushback,Time needed for meal preparation,Limited access to fresh produce (i.e., food insecurity)",,,,1,5,,2,,3,4,,,,"Taste, difficulty preparing, cost","Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Social Support Tools (e.g., scripts for navigating differing family preferences, shared meals, household pushback, etc.)",,One-Pager/Brief,,Printed Handouts,,"Behavior-Change Strategies,Review of Clinical Research and Dietary Guidelines,Sustainability Implications of Plant-Forward Eating",,"ACLM primarily, Mayo Clinic, Cleveland Clinic patient handouts",
2026-02-02 13:26:30,2026-02-02 13:36:05,IP Address,*******,100,575,True,2026-02-02 13:36:05,R_3iKoNRdVqu3zYkb,*******,*******,*******,*******,*******,*******,anonymous,EN,Other (Please Specify),"Nurse practitioner ",Yes,"Weight Management,Oncology,Digestive Health,General Wellness/Prevention,Other (Please Specify)","Cancer prevention ","Lack of cooking skills and/or knowledge,Lack of tools, space, and/or equipment,Personal taste preferences,Familial and/or household pushback,Other (Please Specify)","Knowledge deficit that plant focused eating will reverse disease and prevent disease ",1,2,,,4,3,,,,,5,5,Going to be very hard,"Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,Interactive Webpage,,QR Code,,Sustainability Implications of Plant-Forward Eating,,"AICR, ACLM",Better plant based options in the hospital
2026-02-02 13:32:08,2026-02-02 13:39:03,IP Address,*******,100,414,True,2026-02-02 13:39:03,R_1JE9hWdcN1kRbDX,*******,*******,*******,*******,*******,*******,anonymous,EN,Nurse,,Yes,"Cardiovascular Disease,General Wellness/Prevention",,"Lack of cooking skills and/or knowledge,Affordability of healthy foods,Concerns about protein adequacy,Familial and/or household pushback,Time needed for meal preparation,Limited access to fresh produce (i.e., food insecurity),Digestive side effects",,1,,4,5,,3,,2,6,7,,,Can't get enough protein or calcium.  Soy foods like tofu cause cancer.,"Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Social Support Tools (e.g., scripts for navigating differing family preferences, shared meals, household pushback, etc.)",,One-Pager/Brief,,Printed Handouts,,"Nutritional Efficacy for Specific Medical Conditions,Sustainability Implications of Plant-Forward Eating",,"All of the above along with the ADA.  ",
2026-02-02 13:43:32,2026-02-02 13:50:24,IP Address,*******,100,412,True,2026-02-02 13:50:24,R_1GOdkLZGqZibrMZ,*******,*******,*******,*******,*******,*******,anonymous,EN,Other (Please Specify),"Wellness Manager, Doctorate in Public Health",Yes,General Wellness/Prevention,,"Lack of cooking skills and/or knowledge,Affordability of healthy foods,Familial and/or household pushback,Limited access to fresh produce (i.e., food insecurity)",,4,,1,,,3,,,2,,,,They say they were raised to always have meat and unaware of protein sources in plant options.,"Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,One-Pager/Brief,,Printed Handouts,,"Nutritional Efficacy for Specific Medical Conditions,Protein Quality and Amino Acid Profiles,Sustainability Implications of Plant-Forward Eating",,"Materials developed within my own hospital system, American Heart Association",Continuing to normalize healthy habits and the health benefits of plat-based options
2026-02-02 13:52:03,2026-02-02 14:01:47,IP Address,*******,100,584,True,2026-02-02 14:01:47,R_1s3wgBe1pjBs9j3,*******,*******,*******,*******,*******,*******,anonymous,EN,Physician,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Chronic Kidney Disease,Oncology,Digestive Health,Rheumatology,General Wellness/Prevention",,"Lack of cooking skills and/or knowledge,Lack of tools, space, and/or equipment,Affordability of healthy foods,Concerns about protein adequacy,Personal taste preferences,Familial and/or household pushback,Cultural relevance and/or appropriateness of recipes,Time needed for meal preparation,Limited access to fresh produce (i.e., food insecurity),Digestive side effects",,4,5,9,8,3,2,7,1,10,6,,,"Your list was actually a great one that included things i often see in practice but don’t always think to necessarily include. In addition time I would perhaps add cognitive load due to multiple responsibilities such as caretaking, job, etc","Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Social Support Tools (e.g., scripts for navigating differing family preferences, shared meals, household pushback, etc.),Monitoring and Evaluation Tools (e.g., diet trackers, food diaries, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.),Other (Please Specify)","Meal replacements and quick on-the-go meals as well as healthy convenience food options such as frozen, just add water, microwaveable etc",Other (Please Specify),"SHORT tik tok style videos ",Electronic Health Record,,"Nutritional Efficacy for Specific Medical Conditions,Protein Quality and Amino Acid Profiles,Behavior-Change Strategies,Review of Clinical Research and Dietary Guidelines,Sustainability Implications of Plant-Forward Eating,Other (Please Specify)",Vetted Resources,American college of lifestyle medicine,"If meal delivery is an option get that figured out for them. Provide recommendations for frozen meals such as blue zones and forks over knives, freeze dried ramen veggies in soups, etc. Get them set up with follow up support outpatient "
2026-02-02 14:48:08,2026-02-02 14:50:29,IP Address,*******,100,141,True,2026-02-02 14:50:30,R_1dL7JyYza0G6u0G,*******,*******,*******,*******,*******,*******,anonymous,EN,Physician,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Chronic Kidney Disease",,"Lack of cooking skills and/or knowledge,Affordability of healthy foods,Concerns about protein adequacy,Familial and/or household pushback,Time needed for meal preparation,Limited access to fresh produce (i.e., food insecurity)",,1,,2,3,,4,,5,6,,,,"protein, satiety, cost","Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Monitoring and Evaluation Tools (e.g., diet trackers, food diaries, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,Video,,Email,,"Nutritional Efficacy for Specific Medical Conditions,Protein Quality and Amino Acid Profiles,Behavior-Change Strategies,Review of Clinical Research and Dietary Guidelines",,our own,convince them of health benefit at this teachable moment
2026-02-02 14:49:08,2026-02-02 14:53:20,IP Address,*******,100,252,True,2026-02-02 14:53:20,R_70YjZVifFTCvCmg,*******,*******,*******,*******,*******,*******,anonymous,EN,Physician,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Digestive Health,General Wellness/Prevention",,"Lack of cooking skills and/or knowledge,Concerns about protein adequacy,Personal taste preferences,Familial and/or household pushback,Cultural relevance and/or appropriateness of recipes,Time needed for meal preparation",,3,,,4,5,1,6,2,,,,,"not enough protein, that it won't taste good, that they will have to give up flavor/foods they like, that it will be expensive","Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Social Support Tools (e.g., scripts for navigating differing family preferences, shared meals, household pushback, etc.),Monitoring and Evaluation Tools (e.g., diet trackers, food diaries, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,One-Pager/Brief,,QR Code,,"Behavior-Change Strategies,Sustainability Implications of Plant-Forward Eating",,"INternal/own institution, ACLM","Connect it to reason they were in hospital, help send home with tools (recipes, videos, etc), how to sign up for Lifestyle programs, etc"
2026-02-02 17:02:03,2026-02-02 17:04:51,IP Address,*******,100,167,True,2026-02-02 17:04:51,R_6psbgkYXcIfr6y1,*******,*******,*******,*******,*******,*******,anonymous,EN,Physician,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management",,"Lack of cooking skills and/or knowledge,Personal taste preferences,Limited access to fresh produce (i.e., food insecurity)",,1,,,,3,,,,2,,,,will they know how to cook/prepare health food so it's tasty,"Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.)",,One-Pager/Brief,,Printed Handouts,,,,"ACLM, nutrition facts , full plate living","full plate living, handouts with 30 plant checklist; encouraging patients to count plants"
2026-02-03 02:56:32,2026-02-03 03:00:15,IP Address,*******,100,223,True,2026-02-03 03:00:16,R_3GG1QAUbV0a9llf,*******,*******,*******,*******,*******,*******,anonymous,EN,Healthcare Administrator,,No,Other (Please Specify),coordinate resources and development of clinical workflow and discharge tools that support providers and clinician,"Lack of cooking skills and/or knowledge,Personal taste preferences,Familial and/or household pushback,Time needed for meal preparation,Limited access to fresh produce (i.e., food insecurity)",,1,,,,3,4,,2,5,,,,,"Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Social Support Tools (e.g., scripts for navigating differing family preferences, shared meals, household pushback, etc.)",,"Video,Other (Please Specify)",quick conversation with knowledgable person,QR Code,,"Behavior-Change Strategies,Review of Clinical Research and Dietary Guidelines",,,
2026-02-03 03:40:48,2026-02-03 03:51:38,IP Address,*******,100,650,True,2026-02-03 03:51:38,R_5Hx9JXKS1G5B1L3,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,General Wellness/Prevention",,"Lack of cooking skills and/or knowledge,Personal taste preferences,Familial and/or household pushback,Time needed for meal preparation",,2,,,,1,4,,3,,,,,"Feel full, protein","Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Social Support Tools (e.g., scripts for navigating differing family preferences, shared meals, household pushback, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,"Video,One-Pager/Brief",,Printed Handouts,,"Nutritional Efficacy for Specific Medical Conditions,Protein Quality and Amino Acid Profiles,Behavior-Change Strategies",,"ACLM, other plant-forward experts","Recipes need to simple, quick, easy-to-purchase ingredients"
2026-02-03 06:36:34,2026-02-03 06:40:12,IP Address,*******,100,218,True,2026-02-03 06:40:13,R_69m3ynElJK9r8YN,*******,*******,*******,*******,*******,*******,anonymous,EN,Behavioral Health Professional,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,General Wellness/Prevention",,"Lack of cooking skills and/or knowledge,Affordability of healthy foods,Personal taste preferences,Limited access to fresh produce (i.e., food insecurity),Digestive side effects",,,,,,,,,,,,,,"Unsure what to cook, not enough protein, family and taste preference","Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Social Support Tools (e.g., scripts for navigating differing family preferences, shared meals, household pushback, etc.)",,"Video,Interactive Webpage",,Electronic Health Record,,"Nutritional Efficacy for Specific Medical Conditions,Review of Clinical Research and Dietary Guidelines,Sustainability Implications of Plant-Forward Eating",,"AHA, ACLM",
2026-02-03 06:46:32,2026-02-03 06:52:36,IP Address,*******,100,363,True,2026-02-03 06:52:37,R_6fiX921dzZqshrm,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Chronic Kidney Disease,Digestive Health",,"Lack of cooking skills and/or knowledge,Lack of tools, space, and/or equipment,Affordability of healthy foods,Concerns about protein adequacy,Familial and/or household pushback,Time needed for meal preparation,Limited access to fresh produce (i.e., food insecurity)",,1,6,2,5,,7,,4,3,,,," Can't afford it, don't know how to prepare it, ","Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Social Support Tools (e.g., scripts for navigating differing family preferences, shared meals, household pushback, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,"Video,One-Pager/Brief,Interactive Webpage",,Printed Handouts,,"Nutritional Efficacy for Specific Medical Conditions,Protein Quality and Amino Acid Profiles,Behavior-Change Strategies,Sustainability Implications of Plant-Forward Eating",,"ACLM, Nutrition Care Manual, ADA, AHA",
2026-02-03 07:16:22,2026-02-03 07:22:31,IP Address,*******,100,369,True,2026-02-03 07:22:32,R_6xzw58MuRO0QV2F,*******,*******,*******,*******,*******,*******,anonymous,EN,Physician Assistant,,Yes,Oncology,,"Lack of cooking skills and/or knowledge,Concerns about protein adequacy,Personal taste preferences,Familial and/or household pushback,Time needed for meal preparation",,5,,,3,2,1,,4,,,,,"Not enough protein, family will not eat and too much time to make different meals.","Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Social Support Tools (e.g., scripts for navigating differing family preferences, shared meals, household pushback, etc.)",,"Video,One-Pager/Brief,Interactive Webpage",,Patient Portal Links,,Other (Please Specify),Even though I'm DipACLM I always like to learn or review all these topics,"I use multiple resources, my own institution, ACLM etc...",Vouchers for free meals or a meal pantry
2026-02-03 07:58:59,2026-02-03 08:01:59,IP Address,*******,100,179,True,2026-02-03 08:01:59,R_3RggLJRBA597EPq,*******,*******,*******,*******,*******,*******,anonymous,EN,Physician,,Yes,Other (Please Specify),mental health,"Lack of cooking skills and/or knowledge,Affordability of healthy foods,Personal taste preferences,Familial and/or household pushback,Time needed for meal preparation,Limited access to fresh produce (i.e., food insecurity)",,6,,3,,1,5,,4,2,,,,"not enough protein, wont taste good","Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Monitoring and Evaluation Tools (e.g., diet trackers, food diaries, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,"One-Pager/Brief,Interactive Webpage",,Email,,Nutritional Efficacy for Specific Medical Conditions,,i  make them myself or adapt from ACLM materials,
