StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,SI1,SI1_10_TEXT,SI2,SI2_4_TEXT,SI3,SI4,SI4_15_TEXT,SI5_1,SI5_2,SI5_3,SI5_4,SI5_5,SI5_6,SI5_7,SI5_8,SI5_9,SI5_10,SI5_11,SI5_12,SI5_13,SI5_14,SI5_15,SI5_15_TEXT,SI6,SI6_10_TEXT,SI7,SI7_10_TEXT,Q13,SI8,SI8_8_TEXT,SI9,SI9_10_TEXT,SI10,SI10_6_TEXT,SI11,SI11,SI11_6_TEXT,SI12,SI12_6_TEXT,SI13,SI13_5_TEXT
2026-02-09 17:53:23,2026-02-09 17:58:24,IP Address,*******,100,300,True,2026-02-09 17:58:24,R_5o09ll6hpHKWtOa,*******,*******,*******,*******,*******,*******,anonymous,EN,Other (Please Specify),"Cardiologist ",Not Involved,,Contract Managed,,,,,,,,,,,,,,,,,,,,,,,No,Diner Satisfaction,,"Implementation Toolkits,Training Videos,Culinary Training Programs,Scripts for Diner-Facing Staff,Educational Pamphlets,Recipes,One-Page Explainers,Promotional Materials or Signage,Other (Please Specify)",Education from physicians about food as cause for chronic disease,"Menu Promotion,Organizational Culture (creating a culture of health and sustainability, creating buy-in),Staff Education and Capacity,Nutritional and Dietary Health",,"Not much.  Needs to be more prominent ",Lack of Buy-In or Acceptance,,"In-Person Meetings,Virtual Meetings,Direct Email or Instant Message",,"American College of Lifestyle Medicine (ACLM) Website,Contracted Foodservice Management Company,Other (Please Specify)",Other medical institutions that incorporate thus
2026-02-09 19:02:16,2026-02-09 19:07:22,IP Address,*******,100,306,True,2026-02-09 19:07:24,R_1knBi6yNeitrUzO,*******,*******,*******,*******,*******,*******,anonymous,EN,Patient Services Manager or Director,,Not Involved,,Contract Managed,Persuading Staff and Colleagues,,,,,,,,,,,,,,,,,,Director of Foodservice,,Director of Foodservice,,No,Patient Satisfaction,,Promotional Materials or Signage,,"Menu Promotion,Nutritional and Dietary Health",,Probably not to the full extend,Lack of Buy-In or Acceptance,,"In-Person Meetings,Virtual Meetings,Direct Email or Instant Message,Pre- or Post-Shift Huddles,Newsletter or Listserv",,"American College of Lifestyle Medicine (ACLM) Website,My Institution's Intranet or Staff Hub",
2026-02-10 08:21:53,2026-02-10 08:50:30,IP Address,*******,100,1717,True,2026-02-10 08:50:31,R_3yd87XaOWFqEW4V,*******,*******,*******,*******,*******,*******,anonymous,EN,Regional Manager,,Indirectly Involved,,Self Operated,"Conducting Nutritional Analysis,Creating Marketing and Promotional Materials,Persuading Staff and Colleagues,Communicating Menu Options to Patients and Diners,Communicating Menu Changes to Clinical Staff",,,,3,,,,,,,4,,2,5,1,,,Regional Manager,,"Nutrition Manager or Director,Director of Foodservice,Chef or Culinary Director,Patient Services Manager or Director,Regional Manager",,No,"Profitability,Patient Satisfaction,Cost Containment",,Recipes,,Nutritional and Dietary Health,,,"Lack of Buy-In or Acceptance,Issues with Procurement of Ingredients",,"In-Person Meetings,Virtual Meetings",,My Institution's Intranet or Staff Hub,
2026-02-10 08:47:13,2026-02-10 08:52:54,IP Address,*******,100,341,True,2026-02-10 08:52:55,R_5LvrVSEMKvQO8X6,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Indirectly Involved,,Contract Managed,"Persuading Executive Leadership,Persuading Staff and Colleagues,Other (Please Specify)",Healthy Food and Beverage Environment Policy changes,,,,,,,,,,,2,1,,,3,policy changes,Other (Please Specify),unsure,Other (Please Specify),unsure,Yes,,,"Recipes,Promotional Materials or Signage",,Nutritional and Dietary Health,,yes,"Lack of Buy-In or Acceptance,Perceptions of Increasing Food Waste",,"Virtual Meetings,Direct Email or Instant Message",,"American College of Lifestyle Medicine (ACLM) Website,My Institution's Intranet or Staff Hub",
2026-02-10 09:58:32,2026-02-10 10:04:02,IP Address,*******,100,329,True,2026-02-10 10:04:02,R_3PbFxV1rKb2XWbn,*******,*******,*******,*******,*******,*******,anonymous,EN,Regional Manager,,Directly Involved,,Self Operated,"Creating and Testing New Recipes,Identifying Existing Recipes,Conducting Nutritional Analysis,Assessing Alignment with Therapeutic Diets,Sourcing Ingredients,Training Foodservice Staff,Managing Staff Time and Workflows,Securing Kitchen Equipment and Appliances,Persuading Executive Leadership,Persuading Staff and Colleagues,Communicating Menu Options to Patients and Diners,Communicating Menu Changes to Clinical Staff",,3,5,6,2,7,,4,8,9,,10,1,11,12,,,Regional Manager,,Chef or Culinary Director,,Yes,"Profitability,Client Satisfaction",,"Training Videos,Recipes,Promotional Materials or Signage",,"Staff Education and Capacity,Other (Please Specify)",How to prepare these items appropriately,,"Limited Staff Time,Lack of Buy-In or Acceptance,Other (Please Specify)",General population wants meat,"In-Person Meetings,Pre- or Post-Shift Huddles",,My Institution's Intranet or Staff Hub,
2026-02-10 14:09:38,2026-02-10 14:14:19,IP Address,*******,100,281,True,2026-02-10 14:14:20,R_7PpSlvdp5ZcZrbS,*******,*******,*******,*******,*******,*******,anonymous,EN,Sustainability Manager or Director,,Directly Involved,,Self Operated,"Creating and Testing New Recipes,Identifying Existing Recipes,Sourcing Ingredients,Persuading Executive Leadership,Persuading Staff and Colleagues",,5,4,,,3,,,,,,2,1,,,,,"Nutrition Manager or Director,Chef or Culinary Director,Regional Manager,Sustainability Manager or Director",,"Nutrition Manager or Director,Director of Foodservice,Chef or Culinary Director,Patient Services Manager or Director,Dietitian,Production Manager,Foodservice Supervisor,Regional Manager,Sustainability Manager or Director",,Yes,,,"Recipes,Promotional Materials or Signage",,"Menu Promotion,Organizational Culture (creating a culture of health and sustainability, creating buy-in),Staff Education and Capacity,Food Systems Sustainability,Nutritional and Dietary Health",,"no, because no one is driving the work yet. ",Lack of Buy-In or Acceptance,,"In-Person Meetings,Virtual Meetings,Direct Email or Instant Message",,"American College of Lifestyle Medicine (ACLM) Website,Greener by Default (GBD) Website",
2026-02-11 09:40:31,2026-02-11 09:45:23,IP Address,*******,100,291,True,2026-02-11 09:45:24,R_1gPWdkrBQDJZRxT,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Indirectly Involved,,Self Operated,Identifying Existing Recipes,,,,,,,,,,,,,,,,,,"Director of Foodservice,Foodservice Supervisor",,"Patient Services Manager or Director,Foodservice Supervisor",,No,,,Recipes,,Nutritional and Dietary Health,,uncertain,Lack of Buy-In or Acceptance,,Direct Email or Instant Message,,"American College of Lifestyle Medicine (ACLM) Website,Greener by Default (GBD) Website",
2026-02-11 10:04:36,2026-02-11 11:12:32,IP Address,*******,100,4075,True,2026-02-11 11:12:32,R_5oBHuHBjBU1ExFN,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Directly Involved,,Self Operated,"Conducting Nutritional Analysis,Assessing Alignment with Therapeutic Diets,Communicating Menu Options to Patients and Diners,Communicating Menu Changes to Clinical Staff",,,,4,2,,,,,,,,,3,1,,,Director of Foodservice,,Director of Foodservice,,No,Diner Satisfaction,,Other (Please Specify),Simple Health Programs-Lifestyle Medicine,Nutritional and Dietary Health,,,Other (Please Specify),Not sure,"In-Person Meetings,Direct Email or Instant Message",,American College of Lifestyle Medicine (ACLM) Website,
2026-02-11 11:19:07,2026-02-11 11:21:43,IP Address,*******,100,156,True,2026-02-11 11:21:43,R_1ZY6iyUrPFDVvSV,*******,*******,*******,*******,*******,*******,anonymous,EN,Director of Foodservice,,Directly Involved,,Self Operated,"Creating and Testing New Recipes,Identifying Existing Recipes,Conducting Nutritional Analysis,Assessing Alignment with Therapeutic Diets,Sourcing Ingredients,Preparing Recipes,Training Foodservice Staff,Managing Staff Time and Workflows,Securing Kitchen Equipment and Appliances,Creating Marketing and Promotional Materials,Persuading Executive Leadership,Persuading Staff and Colleagues,Communicating Menu Options to Patients and Diners,Communicating Menu Changes to Clinical Staff",,1,2,3,4,5,6,7,8,9,10,11,12,13,14,,,"Nutrition Manager or Director,Director of Foodservice",,"Nutrition Manager or Director,Director of Foodservice",,Yes,"Profitability,Patient Satisfaction,Diner Satisfaction,Cost Containment",,,,,,"Sometimes if they are easy to use and relevant to your vendors. ","Limited Staff Time,Lack of Buy-In or Acceptance,Perceptions of Increasing Food Waste",,"Direct Email or Instant Message,Pre- or Post-Shift Huddles",,American College of Lifestyle Medicine (ACLM) Website,
2026-02-13 06:02:51,2026-02-13 06:12:33,IP Address,*******,100,582,True,2026-02-13 06:12:34,R_6Cm4pE1XNx1d19k,*******,*******,*******,*******,*******,*******,anonymous,EN,Foodservice Supervisor,,Directly Involved,,Unsure,"Creating and Testing New Recipes,Identifying Existing Recipes,Assessing Alignment with Therapeutic Diets,Sourcing Ingredients,Preparing Recipes,Training Foodservice Staff,Managing Staff Time and Workflows,Securing Kitchen Equipment and Appliances,Persuading Staff and Colleagues,Communicating Menu Options to Patients and Diners,Communicating Menu Changes to Clinical Staff",,3,9,,2,7,4,5,1,8,,,6,10,11,,,"Nutrition Manager or Director,Dietitian,Foodservice Supervisor,Other (Please Specify)",SLT,"Dietitian,Other (Please Specify)",SLT,No,"Profitability,Patient Satisfaction,Diner Satisfaction,Client Satisfaction,Cost Containment,Sustainability",,"Recipes,Promotional Materials or Signage",,"Menu Promotion,Nutritional and Dietary Health",,Yes. Primarily just signage (my plate),"Lack of Buy-In or Acceptance,Issues with Procurement of Ingredients,Perceptions of Increasing Food Waste",,"In-Person Meetings,Direct Email or Instant Message,Pre- or Post-Shift Huddles,Newsletter or Listserv",,"Contracted Foodservice Management Company,My Institution's Intranet or Staff Hub",
2026-02-13 10:07:05,2026-02-13 10:11:51,IP Address,*******,100,285,True,2026-02-13 10:11:51,R_3q8hKvBtQulSRwT,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-13 11:44:25,2026-02-13 11:47:30,IP Address,*******,100,184,True,2026-02-13 11:47:30,R_6L2HXrDhdlpG4BH,*******,*******,*******,*******,*******,*******,anonymous,EN,Nutrition Manager or Director,,Indirectly Involved,,Contract Managed,"Assessing Alignment with Therapeutic Diets,Persuading Executive Leadership,Persuading Staff and Colleagues,Communicating Menu Changes to Clinical Staff",,,,,3,,,,,,,2,1,,4,,,Director of Foodservice,,Director of Foodservice,,No,"Profitability,Patient Satisfaction,Cost Containment",,Other (Please Specify),"none ",Other (Please Specify),"none ",,Other (Please Specify),"none ","In-Person Meetings,Virtual Meetings,Direct Email or Instant Message",,Other (Please Specify),"no preference, would need to review materials "
2026-02-13 11:41:09,2026-02-13 11:50:43,IP Address,*******,100,574,True,2026-02-13 11:50:43,R_5uPoVjwiSEMLcwX,*******,*******,*******,*******,*******,*******,anonymous,EN,Nutrition Manager or Director,,Indirectly Involved,,Contract Managed,"Assessing Alignment with Therapeutic Diets,Communicating Menu Changes to Clinical Staff",,,,,,,,,,,,,,,,,,"Director of Foodservice,Regional Manager",,Regional Manager,,Yes,Patient Satisfaction,,One-Page Explainers,,Nutritional and Dietary Health,,"Patients are provided a menu with a description of their diet. ",Lack of Buy-In or Acceptance,,"In-Person Meetings,Virtual Meetings,Direct Email or Instant Message,Pre- or Post-Shift Huddles",,My Institution's Intranet or Staff Hub,
2026-02-13 12:33:25,2026-02-13 12:45:10,IP Address,*******,100,704,True,2026-02-13 12:45:10,R_6shlrmybUSqSRXz,*******,*******,*******,*******,*******,*******,anonymous,EN,Nutrition Manager or Director,,Indirectly Involved,,Contract Managed,"Assessing Alignment with Therapeutic Diets,Communicating Menu Changes to Clinical Staff",,,,,1,,,,,,,,,,2,,,Nutrition Manager or Director,,Nutrition Manager or Director,,No,Patient Satisfaction,,Other (Please Specify),Don't know of specific resources,,,N/A,Lack of Buy-In or Acceptance,,"In-Person Meetings,Direct Email or Instant Message,Pre- or Post-Shift Huddles",,My Institution's Intranet or Staff Hub,
2026-02-13 12:35:54,2026-02-13 12:54:43,IP Address,*******,100,1129,True,2026-02-13 12:54:43,R_57hkufrnOB7tLsB,*******,*******,*******,*******,*******,*******,anonymous,EN,Regional Manager,,Directly Involved,,Contract Managed,"Conducting Nutritional Analysis,Assessing Alignment with Therapeutic Diets,Securing Kitchen Equipment and Appliances,Creating Marketing and Promotional Materials,Persuading Executive Leadership,Persuading Staff and Colleagues,Communicating Menu Options to Patients and Diners,Communicating Menu Changes to Clinical Staff",,,,2,3,,,,,1,7,8,6,4,5,,,Regional Manager,,Regional Manager,,Yes,Patient Satisfaction,,"Implementation Toolkits,Training Videos,Culinary Training Programs,Scripts for Diner-Facing Staff,Educational Pamphlets,Recipes,One-Page Explainers,Value Propositions,Promotional Materials or Signage",,"Staff Education and Capacity,Nutritional and Dietary Health",,"Iin use, especially for staff training","Limited Staff Time,Lack of Equipment or Space,Lack of Buy-In or Acceptance,Issues with Procurement of Ingredients,Perceptions of Increasing Food Waste",,"In-Person Meetings,Virtual Meetings,Pre- or Post-Shift Huddles",,"American College of Lifestyle Medicine (ACLM) Website,Contracted Foodservice Management Company",
2026-02-06 15:15:10,2026-02-06 15:20:00,IP Address,*******,35,289,False,2026-02-13 15:20:02,R_1LBsO2ccQW0wX0J,*******,*******,*******,*******,*******,*******,anonymous,EN,Nutrition Manager or Director,,Directly Involved,,Self Operated,"Creating and Testing New Recipes,Identifying Existing Recipes,Conducting Nutritional Analysis,Assessing Alignment with Therapeutic Diets",,3,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-06 15:30:31,2026-02-06 15:30:40,IP Address,*******,6,9,False,2026-02-13 15:30:41,R_6meHqBAsckcGupg,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
